id,screen_name,category
50d6f9e18302d45677959b06,msbswim,Sporting Goods Shop
50e1bc3d39506f986841f6ba,littlelindos,Hotel
50e3fa09011c10ca3a237e08,Wine_Adventure,Travel Agency
50e54dafe4b0868ca1759951,VisitHalkidiki,Government Building
50e732e0e4b0485147a84602,designersuntd,Design Studio
50ebd34ce4b0aaf3b6d494c8,DELTA4SA,Building
50ebdcb5f2e76d8a97fee367,yogenfruzgr,Frozen Yogurt Shop
50eda0a8e4b09df444774096,MadGymThess,Gym / Fitness Center
50edb507e4b0da7c9ab3df69,Alkin00s,Movie Theater
50edc90de4b0385a578cd67f,totsai_thes,Tea Room
50f3d277e4b055cf76517cc2,LiberoFM,Radio Station
50f92376526227d02a3856c3,TheDKGgroup,Office
50fc12278aca2511ba8b9ec1,PalaskaPharmacy,Pharmacy
5100150519a9772d98978e3d,sakkoulidis,Office
510290bae4b051e6762136b1,madbluepro,Music Store
510a46498aca4ab923adfa74,loginetGR,Office
510feb5fe4b0a47aca486419,The_iStore_gr,Electronics Store
511107b3e4b0ef90accad284,HCNGreece,Tech Startup
511260b6d86c812cefff58aa,BoConceptGreece,Furniture / Home Store
5116d611f31caa2d26a51814,Portokoufo,Resort
5119557270434ea672651190,Aspasiajewel,Hotel Bar
511cd2a045b081ec9ba9d4c2,PomegranateSpa,Hotel
511f4cc1e4b0d6060d15c8fb,greek_feta,Factory
51263086f2e762502bc5f490,angelopedro_gr,Office
512b41ffc84c5f3fa6a9c461,Asteristh,Pharmacy
