ID,Twitter,Category
"4e1735bf2271881f2053963b","savoyrhodes","Hotel"
"4e182e3bfa761946458e5ea7","eurobank_group","Bank"
"4e189c2f2271b0e971fdf863","pkalamatianos","Seafood Restaurant"
"4e1c0e3f7d8bdabfd0fa2df8","eanosrestaurant","Greek Restaurant"
"4e1d7186d4c08930995ce2ce","stelakis_beach","Taverna"
"4e1ff3521495f18f033ef1cd","alpha_bank","Bank"
"4e21898ec65b2b5e35474656","sundayresort","Hotel"
"4e272bb2d16486291ba7a9b4","mpakalikon","Steakhouse"
"4e28025eaeb75df8caa74e88","vodafone_gr","Mobile Phone Shop"
"4e29dca47d8b7deda6bf3b25","ochrebistro","Wine Bar"
"4e2a7d9b8877b69d49d5f31a","esperas_oia","Hotel"
"4e328d841f6e2137f93292ef","maisondeslys","Hotel"
"4e3291dd18a846d7ed088b6c","paphotels","Hotel"
"4e341b7418a8efdb17607f92","aida_de","Cruise Ship"
"4e380f00aeb7c8fe31776081","gnet_gr","Gaming Cafe"
"4e39013ed4c046ee86b58830","mercedesbenz","Automotive Shop"
"4e3908176284250071b943a6","eko_greece","Gas Station"
"4e390d7962e16ad099ee3763","mentacafebar","Wine Bar"
"4e3a67e4d164c429b72a19d6","petrinosuites","Hotel"
"4e3a74f345dd8bab9ffe63f1","alpha_bank","Bank"
"4e3c14c9ae60454236521e2f","hondoscenter","Cosmetics Shop"
"4e40ed1418a875a006a6332d","kipriotishotels","Hotel"
"4e4199512271cc7959682743","hotelorizontes","Hotel"
"4e42bd6b1495387dc48a4adc","bp_plc","Gas Station"
"4e42f8c262e1a67a6e57c590","art_maisons","Hotel"
"4e443c95483b132669d3c802","alpha_bank","Bank"
"4e4549d1b61c03d0ccfba316","lacoste","Clothing Store"
"4e48e2d9483b03d090ff5947","dodoniicecream","Café"
"4e4a394ad22d876aed16a878","eurobank_group","Bank"
"4e4a8d747d8b3dcca35ba527","petit_palace","Hotel"
"4e4b65396284a0b024b2b6e2","thekas79","Jewelry Store"
"4e4b966be4cde30b72851d83","ammosstores","Boutique"
"4e4bedc862e1ce23e57bd512","eurobank_group","ATM"
"4e4d0d4362e1e5f4671e7bf0","h_responsibilus","Athletics & Sports"
"4e4d73c4c65be7ec3abbd99f","alexanderinngr","Hotel"
"4e4e23d652b1e893ad483e26","eurobank_group","Bank"
"4e4e4a90aeb70f12848f3783","themethotel","Hotel Bar"
"4e4e825dd164978659bc542b","kotsovoloson","Electronics Store"
"4e5170c0d22daf51d2921531","agnantia","Hotel"
"4e5217c218381362f72a0dfc","vodafone_gr","Mobile Phone Shop"
"4e522147b61c097de6765ce9","alpha_bank","Bank"
"4e52286ad1643fe91637077b","vodafone_gr","Mobile Phone Shop"
"4e5266c53151e600e9155584","multirama_gr","Electronics Store"
"4e5387acd1641f4f818681fe","vodafone_gr","Mobile Phone Shop"
"4e5387fdd22d7b9b656d91c5","jourauthgr","College Communications Building"
"4e54c70ffa761d3de8404ce6","vodafone_gr","Mobile Phone Shop"
"4e54c831d164a1ac2f38cc46","sixtgreece","Rental Car Location"
"4e54e7cf45dd5c591f4f047e","kotsovoloson","Electronics Store"
"4e55f845a809ca773dfa7771","alpha_bank","Bank"
