Name (Long),Surname,Name,Party,Twitter Handle,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7
Τζηκαλάγιας Γεωργίου Ζήσης,Τζηκαλάγιας,Τζηκαλάγιας Ζήσης,ΝΔ,0,0,0,0,0,0,0,0
Γκίκας Σωτηρίου Στέφανος,Γκίκας,Γκίκας Στέφανος,ΝΔ,395206721,395206721,0,0,0,0,0,0
Καππάτος Σπυρίδωνος-Διονυσίου Παναγής,Καππάτος,Καππάτος Παναγής,ΝΔ,1173581893079576580,1173581893079576576,0,0,0,0,0,0
Γεωργαντάς Παύλου Γεώργιος,Γεωργαντάς,Γεωργαντάς Γεώργιος,ΝΔ,1150728876424867840,1150728876424867840,0,0,0,199039259,0,0
Βρυζίδου Παναγιώτη Παρασκευή,Βρυζίδου,Βρυζίδου Παρασκευή,ΝΔ,1734838562,0,0,0,0,0,0,0
Αμανατίδης Ισαάκ Γεώργιος,Αμανατίδης,Αμανατίδης Γεώργιος,ΝΔ,1205419430781628416,2192270316,0,0,0,0,0,0
Παπαδόπουλος Γεωργίου Μιχάλης,Παπαδόπουλος,Παπαδόπουλος Μιχάλης,ΝΔ,547869595,0,0,1849120080,0,17865999,0,0
Κωνσταντινίδης Κωνσταντίνου Ευστάθιος,Κωνσταντινίδης,Κωνσταντινίδης Ευστάθιος,ΝΔ,557560811,0,0,0,0,1513094316,0,0
Σούκουλη - Βιλιάλη Δημητρίου Μαρία Ελένη (Μαριλένα),Σούκουλη,Σούκουλη Μαριλένα,ΝΔ,532337898,532337898,0,0,0,0,0,0
Ταγαράς Χρήστου Νικόλαος,Ταγαράς,Ταγαράς Νικόλαος,ΝΔ,552151981,552151981,0,0,0,0,0,0
Δήμας Σταύρου Χρίστος,Δήμας,Δήμας Χρίστος,ΝΔ,491550694,491550694,0,0,0,0,0,0
Βρούτσης Βασιλείου Ιωάννης,Βρούτσης,Βρούτσης Ιωάννης,ΝΔ,3064827747,3064827747,0,0,0,0,0,0
Μονογυιού Αικατερίνη,Μονογυιού,Μονογυιού Αικατερίνη,ΝΔ,1140269473397694471,2485511472,0,0,0,0,0,0
